Repository URL,Pull Request URL,PR Title,Total Interesting Keywords,"""Promise"" Occurrances","""Async"" Occurrances","""Await"" Occurrances",Files Changed,Lines Changed,PR Creation Date
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/5333,try to get some tests passing,1158,14,240,864,15,207,2022-06-30T21:13:47Z
https://api.github.com/repos/FlowFuse/flowfuse,https://github.com/FlowFuse/flowfuse/pull/4686,Ensure correct env vars are applied to device,1158,16,270,872,7,334,2024-10-23T20:15:09Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/5482,Remove need for port-authority,1120,16,230,835,6,72,2022-07-12T20:28:23Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/10852,use waitForSelector instead of until,1115,0,179,936,7,208,2021-04-08T17:12:47Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/21640,fix: flaky tests in v11.5.0,1093,2,131,960,30,1281,2023-11-01T10:28:08Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/35608,"♻️ #core form, modal, amp-element-helpers (""real"" diff in desc)",1056,121,315,620,30,61,2021-08-10T20:26:45Z
https://api.github.com/repos/meteor/meteor,https://github.com/meteor/meteor/pull/13506,Fix flaky roles tests by comparing expected array values equality regardless the order,1050,2,82,966,1,62,2024-12-05T13:38:14Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/5199,[chore] fix flaky tests,1049,16,223,810,2,8,2022-06-12T06:02:18Z
https://api.github.com/repos/beyondessential/tamanu,https://github.com/beyondessential/tamanu/pull/5171,Fix all lint warnings (except mobile),974,7,158,801,30,180,2024-01-16T04:09:34Z
https://api.github.com/repos/Kong/insomnia,https://github.com/Kong/insomnia/pull/6043,make all migration functions non-async,934,12,96,826,30,248,2023-06-20T14:56:44Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/35531,✅  🚀  Create test helper functions to help improve test performance,933,194,258,479,30,100,2021-08-04T18:43:57Z
https://api.github.com/repos/TryGhost/Ghost,https://github.com/TryGhost/Ghost/pull/16582,Added retries for all known flaky tests,932,5,185,742,7,18,2023-04-07T07:00:21Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/64205,Components: Cleanup flaky unit test `sleep()` hacks,930,2,184,744,10,90,2024-08-02T13:43:30Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/34853,🏗Add `#test` and `#testing` to alias list,914,231,267,401,30,92,2021-06-12T00:29:45Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/4122,Fix race condition in clicknav test utility func,909,15,185,678,2,10,2022-02-25T05:42:28Z
https://api.github.com/repos/huridocs/uwazi,https://github.com/huridocs/uwazi/pull/5422,Server tests fixes and improvents,886,29,355,502,25,236,2023-01-10T12:34:42Z
https://api.github.com/repos/kube-HPC/etcd.hkube,https://github.com/kube-HPC/etcd.hkube/pull/34,fix get and watch race condition,864,8,208,648,3,23,2022-02-23T08:24:51Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/8545,Try inputting text using `fill` to reduce test flakiness,852,10,164,678,1,32,2023-01-16T04:04:04Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/47173,Multi-block selection and rich text test: wait for expected UI to appear,852,6,71,775,2,21,2023-01-16T08:59:21Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/59012,Components: Add sleep() before all Tab() to fix flaky tests,851,2,167,682,9,73,2024-02-14T13:08:36Z
https://api.github.com/repos/smallbets/userbase,https://github.com/smallbets/userbase/pull/259,Bundling process race condition patched,833,7,94,732,18,819,2021-01-16T01:06:20Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/3741,[fix] flaky tests,821,14,168,605,2,57,2022-02-05T20:18:22Z
https://api.github.com/repos/penpot/penpotqa,https://github.com/penpot/penpotqa/pull/147,fix(tests): fix flaky tests,819,0,64,755,16,36,2024-12-19T09:34:39Z
https://api.github.com/repos/mozilla/fxa,https://github.com/mozilla/fxa/pull/15122,fix(tests): Add some tweaks to reduce flaky playwright tests,799,10,91,698,26,431,2023-03-31T20:11:51Z
vercel/next.js,https://github.com/vercel/next.js/pull/78467,test: increase timeouts for some flaky tests,772,2,202,568,4,19,2025-04-23T16:25:54Z
vercel/next.js,https://github.com/vercel/next.js/pull/78911,Add debug logs to flaky tests,754,2,197,555,2,26,2025-05-07T10:03:16Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/3404,gh-3403: Remove encodeURI call for redirect load property,753,10,159,584,8,54,2022-01-19T01:46:49Z
https://api.github.com/repos/parse-community/Parse-SDK-JS,https://github.com/parse-community/Parse-SDK-JS/pull/1278,Update tests,752,3,174,575,4,2894,2020-12-11T16:02:29Z
https://api.github.com/repos/nasa/cumulus,https://github.com/nasa/cumulus/pull/2455,CUMULUS-2583,744,70,171,503,19,980,2021-09-14T19:38:37Z
https://api.github.com/repos/bcgov/range-api,https://github.com/bcgov/range-api/pull/173,Update auth and server init to be async,726,14,165,547,27,606,2020-04-22T20:02:55Z
https://api.github.com/repos/tethysplatform/tethysapp-tethys_dash,https://github.com/tethysplatform/tethysapp-tethys_dash/pull/2,Empty Routes Fix,708,18,142,548,22,2508,2025-03-26T19:58:09Z
paulmillr/chokidar,https://github.com/paulmillr/chokidar/pull/1228,Fix for a race condition on Linux,701,11,129,561,3,46,2022-07-08T12:03:04Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/71741,Fix race condition when setting client reference manifests,697,1,180,516,13,228,2024-10-23T18:18:07Z
https://api.github.com/repos/paulmillr/chokidar,https://github.com/paulmillr/chokidar/pull/1242,Fix some tests,696,9,125,562,1,81,2022-08-19T22:26:01Z
paulmillr/chokidar,https://github.com/paulmillr/chokidar/pull/1242,Fix some tests,696,9,125,562,1,81,2022-08-19T22:26:01Z
https://api.github.com/repos/newrelic/node-newrelic,https://github.com/newrelic/node-newrelic/pull/2610,test: Updated tests that relied on `tspl` by awating the `plan.completed` instead of calling `end` to avoid flaky tests,679,72,129,478,15,258,2024-09-24T17:11:36Z
paulmillr/chokidar,https://github.com/paulmillr/chokidar/pull/1403,test: switch to node:fs/promises,661,12,118,531,1,263,2025-01-19T15:21:29Z
https://api.github.com/repos/axa-ch-webhub-cloud/pattern-library,https://github.com/axa-ch-webhub-cloud/pattern-library/pull/1963,Fix flaky testing,629,0,88,541,11,870,2020-09-09T16:41:16Z
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/2181,Fix another round of flaky tests,628,19,222,387,30,2511,2024-06-03T13:45:44Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/24564,fix: Cherry-pick pr from develop to v11.16.0 to fix flaky test,627,2,80,545,21,432,2024-05-16T14:26:23Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/37952,split out amp-agnostic parts of bento unit tests tests and creates un…,619,5,223,391,28,4991,2022-03-24T21:56:50Z
https://api.github.com/repos/beyondessential/tamanu,https://github.com/beyondessential/tamanu/pull/4295,EPI-540: Make test failures easier to reproduce,615,11,146,450,19,202,2023-06-26T05:52:30Z
https://api.github.com/repos/TryGhost/Ghost,https://github.com/TryGhost/Ghost/pull/19701,Updated browser tests to be less flaky,600,2,31,369,4,148,2024-02-15T14:39:10Z
https://api.github.com/repos/TheFocusTech/DomainQA,https://github.com/TheFocusTech/DomainQA/pull/58,"update testdata, skip flaky tests",600,0,125,475,4,33,2024-11-13T14:33:42Z
paulmillr/chokidar,https://github.com/paulmillr/chokidar/pull/1304,v4 fixes,595,9,119,467,16,6670,2024-02-05T19:54:05Z
https://api.github.com/repos/NEAR-DevHub/neardevhub-bos,https://github.com/NEAR-DevHub/neardevhub-bos/pull/691,"""Don't ask again"" User Experience improvements across DevHub",591,1,57,533,25,1055,2024-03-14T21:33:50Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25769,feat: Migration #122 set redesignedConfirmationsEnabled to true,585,1,72,512,19,232,2024-07-11T13:59:22Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/21110,fix: improve the flakiest e2e tests,584,1,82,501,10,164,2023-09-28T20:54:12Z
https://api.github.com/repos/subscriptions-project/swg-js,https://github.com/subscriptions-project/swg-js/pull/3526,Await on getEntitlements in getAvailableIntervention,583,150,212,221,5,148,2024-05-29T20:01:48Z
https://api.github.com/repos/sequelize/sequelize,https://github.com/sequelize/sequelize/pull/14890,fix: Association mixin bug with unique false,580,107,97,376,2,120,2022-08-16T15:02:09Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/8374,Fix flaky tests,576,16,92,462,20,208,2023-01-06T20:18:59Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/8361,fix some flaky tests,572,16,92,464,1,82,2023-01-06T14:21:16Z
https://api.github.com/repos/grouparoo/grouparoo,https://github.com/grouparoo/grouparoo/pull/1039,`model.locked` is a string indicating why the model is locked,568,0,175,393,30,614,2020-11-30T22:00:43Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/8378,Fix flaky tests and run in parallel,568,16,92,458,17,119,2023-01-07T00:18:17Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/12487,chore: fix flaky test,552,20,85,447,1,4,2024-07-22T15:30:04Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/12493,chore: fix another flaky test,551,9,102,440,1,3,2024-07-23T21:52:00Z
https://api.github.com/repos/elementor/elementor,https://github.com/elementor/elementor/pull/23241,Fix: Nested Tabs Flaky Test [ED-11583],545,0,39,506,1,2,2023-08-01T01:09:43Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/19330,feature(17901): fix address-book `Sends to an address book entry` e2e against MV3 build,530,0,67,463,9,107,2023-05-29T18:51:49Z
bee-queue/bee-queue,https://github.com/bee-queue/bee-queue/pull/232,fix: prevent event delivery race condition,525,64,167,294,9,705,2020-04-16T23:53:32Z
https://api.github.com/repos/huridocs/uwazi,https://github.com/huridocs/uwazi/pull/4067,update prettier and applied on the project,522,42,213,267,30,333,2021-12-02T16:27:47Z
https://api.github.com/repos/grindery-io/grindery-delight-api,https://github.com/grindery-io/grindery-delight-api/pull/7,Improve tests features,521,2,227,288,30,6860,2023-04-26T23:16:15Z
https://api.github.com/repos/neo4j/neo4j-javascript-driver,https://github.com/neo4j/neo4j-javascript-driver/pull/1216,Fix `maxConnectionPoolSize` verification,521,114,136,271,3,169,2024-09-02T14:51:39Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/56303,Fix flaky test for size output,520,1,124,395,1,2,2023-10-02T13:58:30Z
https://api.github.com/repos/NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/452,weekly promotion of develop to main,505,4,96,405,30,2605,2024-06-27T01:00:26Z
https://api.github.com/repos/NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/452,weekly promotion of develop to main,505,4,96,405,30,2605,2024-06-27T01:00:26Z
https://api.github.com/repos/bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton/pull/21902,test: Re-enable flaky tests patch,501,0,160,341,21,132,2024-12-13T20:17:45Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/77222,fix(test/e2e/prerender): Remove race condition in test,499,2,128,369,2,63,2025-03-18T04:36:07Z
https://api.github.com/repos/Automattic/wp-calypso,https://github.com/Automattic/wp-calypso/pull/50337,Disable flaky insert embeds test,497,0,130,367,1,3,2021-02-22T16:13:40Z
https://api.github.com/repos/TheFocusTech/DomainQA,https://github.com/TheFocusTech/DomainQA/pull/96,fix test 06_04 change locator,495,0,89,406,3,8,2024-11-26T03:58:39Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/65541,test: consolidate action flaky test,494,1,109,384,2,9,2024-05-08T21:41:16Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/26449,test: add `driver.clickElementAndWaitForWindowToClose` helper method,494,4,83,407,13,358,2024-08-15T17:59:59Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/33932,"♻️ Core extraction: function helpers, date helpers, signals",488,140,138,210,30,67,2021-04-21T14:59:02Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/35985,✅ ♻️ Merge test helpers files,487,57,195,235,30,68,2021-09-07T22:20:52Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/34915,🏗 Add `#third_party` alias + autofix,486,163,157,166,30,66,2021-06-17T21:14:01Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/9947,fix: Flaky test,486,8,89,389,2,113,2023-05-17T00:51:06Z
https://api.github.com/repos/Automattic/wp-calypso,https://github.com/Automattic/wp-calypso/pull/40174,[e2e] Attempt to improve flaky tests,484,0,128,356,2,12,2020-03-16T16:30:24Z
https://api.github.com/repos/mozilla/fxa,https://github.com/mozilla/fxa/pull/17310,"task(auth,graphql,profile,admin): Make sure profile cache is cleared before sending profile update event.",484,81,215,188,19,259,2024-07-31T22:26:48Z
https://api.github.com/repos/facebook/react,https://github.com/facebook/react/pull/15769,[Suspense] Change Suspending and Restarting Heuristics,481,199,149,133,14,870,2019-05-30T03:21:34Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/7578,fix flaky test,481,16,78,387,2,12,2022-11-09T23:34:22Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/34931,♻️ [core] observers + related layout/sizing into #core/dom/layout,475,126,137,212,30,68,2021-06-18T21:57:34Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/38086,Ensure history navigation is correct after query update,475,3,110,362,3,39,2022-06-28T01:43:51Z
https://api.github.com/repos/oxen-io/eth-sn-contracts,https://github.com/oxen-io/eth-sn-contracts/pull/86,Rework reserved-contributors by introducing a state machine,473,0,70,403,7,2614,2024-09-25T10:49:11Z
https://api.github.com/repos/canada-ca/tracker,https://github.com/canada-ca/tracker/pull/3402,Skip flaky test,469,0,121,348,2,76,2022-01-14T20:56:43Z
https://api.github.com/repos/mozilla/fxa,https://github.com/mozilla/fxa/pull/12513,feat(auth): ensure customer currency is set when needed,467,18,223,226,2,119,2022-04-15T18:46:08Z
https://api.github.com/repos/browser-automation/cba,https://github.com/browser-automation/cba/pull/113,No issue - increased delay to fix flaky tests,466,0,40,426,4,12,2023-04-30T12:47:53Z
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/1283,[PROD] Impersonation,462,8,142,312,26,439,2023-01-11T20:05:15Z
https://api.github.com/repos/FredrikNoren/ungit,https://github.com/FredrikNoren/ungit/pull/1496,[#1495] Hopefully tests are more stable now...,461,0,86,375,30,12777,2021-10-27T04:17:33Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/36193,Stabilize flakey prerender test,461,2,98,361,1,21,2022-04-15T16:29:14Z
https://api.github.com/repos/subscriptions-project/swg-js,https://github.com/subscriptions-project/swg-js/pull/2020,Make skipAccountCreationScreen a config option,457,135,143,179,6,180,2021-11-27T03:44:10Z
https://api.github.com/repos/BrightspaceUI/core,https://github.com/BrightspaceUI/core/pull/1150,input-date: visual-diff: fix flaky test,455,6,128,321,6,53,2021-02-22T14:46:55Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/35649,♻️ Enable `import/order` on not-recently-updated extensions,455,82,158,215,30,389,2021-08-12T20:10:21Z
https://api.github.com/repos/bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton/pull/19436,test: Fix no-flaky tests and properly set the execution mode,455,0,168,287,25,254,2024-01-16T13:56:06Z
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/1280,[TTAHUB-1258] Fix potential flaky tests,445,7,136,302,4,49,2023-01-10T23:00:14Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/124,Skip flaky tests that began happening from VS Code 1.75.0,443,0,154,289,2,25,2023-02-15T14:21:39Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/227,Skip flaky tests,443,0,154,289,1,4,2024-02-19T11:56:43Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25362,test: new switchToWindowWithTitle w/ Extension communication,443,2,79,362,24,1216,2024-06-17T05:44:36Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/84,May fix flaky test,442,0,120,322,1,1,2022-05-22T15:48:22Z
https://api.github.com/repos/FredrikNoren/ungit,https://github.com/FredrikNoren/ungit/pull/1505,[#1495] Stabilize CI tests,441,0,92,349,30,1581,2022-02-19T01:50:55Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/13715,chore(deps): update playwright,437,5,91,341,8,69,2025-04-15T14:55:50Z
https://api.github.com/repos/parse-community/Parse-SDK-JS,https://github.com/parse-community/Parse-SDK-JS/pull/1668,ci: Fix flaky tests,434,6,115,313,6,62,2023-01-26T00:01:13Z
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/8468,ci: Fix flaky tests,434,102,99,233,10,59,2023-03-08T00:57:39Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/51680,Renable flaky tests disabled before,433,0,111,322,2,7,2023-06-22T23:06:47Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/6975,[chore] fix flaky test,429,10,69,350,1,8,2022-09-22T18:02:33Z
https://api.github.com/repos/sequelize/sequelize,https://github.com/sequelize/sequelize/pull/13735,test(integration): mark and fix flaky test,428,43,110,275,5,61,2021-12-02T21:02:11Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/19531,feature(19463): fix send-eth flaky test and refactor,425,0,47,378,7,54,2023-06-08T20:43:01Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/48063,Refactor the site editor URLs for better backward compatibility,423,1,65,357,23,383,2023-02-14T09:01:23Z
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/7255,Postgres: Properly initialize database on startup and debugger,422,29,110,283,16,251,2021-03-09T23:14:02Z
https://api.github.com/repos/nasa/cumulus,https://github.com/nasa/cumulus/pull/1473,CUMULUS-1717: Update granule reporting to remove race condition,419,46,116,196,30,1748,2020-02-11T20:27:25Z
https://api.github.com/repos/nolanlawson/emoji-picker-element,https://github.com/nolanlawson/emoji-picker-element/pull/408,test: centralize fetch mocks in one place,415,4,80,331,11,144,2024-03-11T03:08:51Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/24671,test: Fix popup flakiness in e2e tests,414,0,44,370,8,33,2024-05-21T09:09:57Z
https://api.github.com/repos/DataBiosphere/cbas-ui,https://github.com/DataBiosphere/cbas-ui/pull/189,[WM-2050] flaky tests,406,110,53,243,1,15,2023-06-28T22:34:19Z
https://api.github.com/repos/ldbv-by/bav4,https://github.com/ldbv-by/bav4/pull/1830,ExportDialogContent:flaky test,405,13,194,198,10,48,2023-06-27T07:31:48Z
https://api.github.com/repos/GavinJoyce/ember-headlessui,https://github.com/GavinJoyce/ember-headlessui/pull/146,":bug: <listbox/> with transtion open on ""enter"" click",403,1,98,304,2,31,2022-05-27T10:25:19Z
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9181,test: Investigate flaky tests by turning off tests randomizer,400,45,124,231,4,41,2024-07-07T22:46:59Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/21479,e2e: stabilize Ganache and failOnConsoleError,398,31,106,261,12,132,2023-10-20T22:41:17Z
https://api.github.com/repos/sveltejs/kit,https://github.com/sveltejs/kit/pull/12488,chore: fix flaky download test,398,4,70,324,1,14,2024-07-22T16:29:45Z
https://api.github.com/repos/atom/atom,https://github.com/atom/atom/pull/19523,Increase timeout for atom-application.test.js on CI,392,28,115,249,1,4,2019-06-13T14:39:07Z
atom/atom,https://github.com/atom/atom/pull/19523,Increase timeout for atom-application.test.js on CI,392,28,115,249,1,4,2019-06-13T14:39:07Z
https://api.github.com/repos/atom/atom,https://github.com/atom/atom/pull/19242,Use async randomBytes API to speedup Windows startup,391,28,114,249,2,66,2019-04-30T16:27:57Z
atom/atom,https://github.com/atom/atom/pull/19242,Use async randomBytes API to speedup Windows startup,391,28,114,249,2,66,2019-04-30T16:27:57Z
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/1238,Fix Filter Scope Tests,391,2,118,271,1,48,2022-12-13T23:20:37Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/51790,Fix flaky tests in `navigation.spec.js` and other tests related to the Post Editor Template mode,389,5,55,329,2,51,2023-06-22T11:17:38Z
https://api.github.com/repos/huridocs/uwazi,https://github.com/huridocs/uwazi/pull/4057,new eslint rules && flaky test fix,387,38,124,225,30,382,2021-11-30T11:28:35Z
https://api.github.com/repos/canada-ca/tracker,https://github.com/canada-ca/tracker/pull/3440,Skip flaky tests,386,0,86,300,1,4,2022-01-31T21:42:40Z
https://api.github.com/repos/canada-ca/tracker,https://github.com/canada-ca/tracker/pull/1170,Fix Flaky Tests,382,0,120,262,4,486,2020-11-11T15:35:10Z
https://api.github.com/repos/sillsdev/web-languageforge,https://github.com/sillsdev/web-languageforge/pull/866,Fix one flaky E2E test,380,0,69,311,1,2,2021-03-10T04:37:21Z
https://api.github.com/repos/kuzzleio/kuzzle,https://github.com/kuzzleio/kuzzle/pull/2328,Fix race condition when creating index hidden indice,379,209,77,93,3,48,2022-04-13T13:52:59Z
https://api.github.com/repos/standardnotes/snjs,https://github.com/standardnotes/snjs/pull/262,fix: race condition where item could be dirtied at same time as sync …,377,10,69,298,7,120,2021-04-20T16:20:00Z
https://api.github.com/repos/WordPress/gutenberg,https://github.com/WordPress/gutenberg/pull/52442,Image block: Fix flaky tests,377,0,45,332,2,182,2023-07-07T23:25:39Z
https://api.github.com/repos/adobe/fetch,https://github.com/adobe/fetch/pull/396,fix: flaky tests,374,21,120,233,10,128,2023-04-15T17:08:11Z
https://api.github.com/repos/scratchfoundation/scratch-gui,https://github.com/scratchfoundation/scratch-gui/pull/9283,Improve test debugging,373,6,38,329,5,335,2023-10-14T00:25:23Z
mongodb/node-mongodb-native,https://github.com/mongodb/node-mongodb-native/pull/4232,test(NODE-5788): rework change stream close rejection test,372,10,93,269,1,197,2024-09-11T17:12:46Z
https://api.github.com/repos/DeepakRajputInzero/PCX-Playwright,https://github.com/DeepakRajputInzero/PCX-Playwright/pull/15,Flaky test fixed,370,0,15,355,5,262,2023-03-24T08:41:05Z
https://api.github.com/repos/okta/okta-signin-widget,https://github.com/okta/okta-signin-widget/pull/3654,Fix flaky TestCafe OV polling test in `DeviceChallengePollView_spec`,368,6,51,311,4,26,2024-06-14T18:54:12Z
https://api.github.com/repos/ampproject/amp-github-apps,https://github.com/ampproject/amp-github-apps/pull/1361,📦 Update owners packages (major),364,2,175,187,17,6714,2021-06-04T15:37:05Z
https://api.github.com/repos/ampproject/amphtml,https://github.com/ampproject/amphtml/pull/34877,🏗 Enable lint rules for imports and fix violations,363,61,121,181,30,130,2021-06-15T20:53:09Z
https://api.github.com/repos/sillsdev/web-languageforge,https://github.com/sillsdev/web-languageforge/pull/932,Try to fix intermittent E2E failure,362,0,48,314,1,1,2021-04-28T07:23:04Z
https://api.github.com/repos/chanzuckerberg/cellxgene,https://github.com/chanzuckerberg/cellxgene/pull/1549,refactor categorical controls state,359,0,49,182,25,18319,2020-06-05T19:33:22Z
https://api.github.com/repos/mozilla/fxa,https://github.com/mozilla/fxa/pull/14946,fix(test): Use `newPagesForSync` in flaky tests and disable coppa,359,0,44,315,10,150,2023-03-02T19:00:55Z
